# d	M_st	R_st	L_st	T_eff_st	SpT
19.659 1.35103000 1.27213146 2.86632000 6664.4995 F
6.334 0.49635300 0.57099528 0.08615260 4141.9343 K
17.764 1.46551000 1.35766002 3.81030000 6927.0233 F
12.783 0.67621400 0.73125244 0.25426900 4797.2468 K
13.902 1.85474000 1.63917919 8.68944000 7747.0632 A
11.204 0.94939400 0.95930606 0.83380200 5636.2404 G
14.822 1.21863000 1.17137916 1.99778000 6345.8607 G
18.904 1.35843000 1.27770270 2.92164000 6681.8102 F
11.285 0.60327700 0.66744182 0.17053300 4544.0988 K
14.926 1.10665000 1.08444675 1.42572000 6061.8727 G
4.869 0.52807600 0.60000814 0.10701300 4265.6275 K
22.442 1.06031000 1.04796381 1.22747000 5939.9385 G
22.332 1.21671000 1.16990248 1.98681000 6341.1295 G
20.250 0.93376700 0.94665300 0.78674800 5591.9834 G
16.143 1.61567000 1.46785153 5.36088000 7255.5498 F
22.924 1.06500000 1.05167049 1.24658000 5952.4062 G
7.033 0.35295700 0.43468779 0.02612330 3522.6594 M
12.914 1.16044000 1.12641429 1.68338000 6200.1020 G
22.730 1.41650000 1.32121429 3.38269000 6816.0267 F
26.821 1.58489000 1.44543744 5.01180000 7189.5408 F
13.802 1.15042000 1.11862659 1.63304000 6174.6025 G
6.751 0.32299200 0.40490525 0.01915010 3377.2905 M
2.547 0.34536100 0.42718760 0.02420790 3486.4411 M
4.848 0.34377800 0.42562043 0.02382180 3478.8426 M
22.654 1.05901000 1.04693580 1.22223000 5936.5014 G
12.117 0.73613000 0.78264284 0.34224800 4994.6584 K
27.517 1.61729000 1.46902884 5.37970000 7258.9987 F
18.209 0.94301900 0.95414934 0.81437000 5618.2315 G
27.732 1.74446000 1.56073372 7.01160000 7524.7529 A
9.544 0.75139900 0.79560314 0.36774600 5043.6055 K
9.579 0.88106300 0.90366107 0.64198500 5439.7733 G
9.292 0.95574700 0.96443809 0.85349300 5654.1221 G
17.741 0.91202200 0.92897548 0.72446600 5529.7404 G
3.375 0.21788800 0.29551984 0.00482858 2801.3276 M
11.120 1.46819000 1.35964587 3.83474000 6933.0358 F
9.178 0.64475400 0.70390692 0.21521800 4689.9088 K
12.697 0.97994300 0.98392196 0.93154300 5721.6695 G
14.953 1.53107000 1.40603470 4.44102000 7072.5338 F
22.351 1.12191000 1.09639341 1.49572000 6101.4314 G
17.961 1.58736000 1.44723929 5.03927000 7194.8891 F
8.611 1.07654000 1.06077710 1.29453000 5982.9907 G
17.565 1.02940000 1.02345165 1.10675000 5857.0790 G
17.100 0.94336800 0.95443183 0.81542400 5619.2167 G
7.528 0.32110200 0.40300869 0.01876080 3367.8908 M
4.616 0.22720800 0.30558983 0.00559095 2857.6190 M
9.183 1.11877000 1.09393785 1.48114000 6093.3352 G
20.295 1.51507000 1.39426768 4.28068000 7037.3229 F
18.177 1.37289000 1.28857171 3.03194000 6715.4980 F
17.538 1.25872000 1.20210750 2.23746000 6444.2078 F
10.985 0.72753200 0.77532124 0.32846000 4966.8626 K
8.505 0.95344800 0.96258172 0.84633000 5647.6594 G
20.909 1.00737000 1.00589167 1.02605000 5797.2081 G
17.910 1.37545000 1.29049357 3.05177000 6721.4411 F
15.694 0.78525300 0.82415270 0.42907500 5150.2917 K
18.796 1.65996000 1.49995455 5.89304000 7349.3371 F
5.435 0.37640700 0.45764229 0.03271900 3631.9453 M
11.396 1.90407000 1.67396483 9.52555000 7844.2553 A
10.078 0.72062200 0.76942450 0.31767000 4944.3979 K
20.719 1.03246000 1.02588478 1.11830000 5865.3327 G
11.841 0.74957400 0.79405688 0.36462900 5037.7819 K
17.439 0.95441100 0.96335942 0.84932400 5650.3655 G
1.301 0.13680100 0.20364391 0.00094693 2245.6698 M
13.243 0.68167200 0.73597043 0.26152500 4815.6009 K
15.658 1.39878000 1.30797527 3.23685000 6775.3736 F
15.887 1.97192000 1.72151747 10.76740000 7975.8020 A
23.369 1.47782000 1.36677565 3.92347000 6954.5869 F
6.733 0.88168800 0.90417385 0.64357900 5441.6031 G
11.375 0.82845200 0.86022861 0.51753100 5282.9867 K
5.882 0.64530400 0.70438725 0.21586200 4691.8128 K
19.355 1.40800000 1.31486790 3.31216000 6796.5596 F
25.300 1.56406000 1.43021961 4.78507000 7144.5204 F
14.688 1.01324000 1.01057805 1.04712000 5813.2172 G
21.807 1.00032000 1.00025599 1.00113000 5777.8918 G
5.917 0.36134700 0.44293456 0.02836180 3562.1814 M
17.392 1.42918000 1.33066748 3.48982000 6844.9196 F
11.819 1.23362000 1.18289207 2.08514000 6382.8349 F
15.259 0.95485900 0.96372116 0.85072100 5651.6266 G
15.832 1.38460000 1.29735689 3.12347000 6742.6710 F
11.178 1.36947000 1.28600311 3.00559000 6707.5481 F
21.480 1.91758000 1.68345997 9.76417000 7870.6356 A
14.370 0.77930400 0.81915394 0.41780500 5131.7207 K
17.942 0.92356800 0.93837213 0.75708000 5562.8873 G
24.301 1.05318000 1.04232243 1.19884000 5920.9533 G
13.619 0.60907000 0.67256423 0.17633400 4564.7763 K
22.658 1.44453000 1.34208880 3.62281000 6879.7575 F
14.131 1.03410000 1.02718822 1.12453000 5869.7569 G
12.908 1.01253000 1.01001150 1.04453000 5811.2484 G
6.474 0.34357200 0.42541638 0.02377180 3477.8495 M
12.177 1.10047000 1.07959923 1.39805000 6045.7719 G
4.306 0.27947300 0.36063833 0.01153950 3152.9216 M
9.920 0.80982100 0.84471699 0.47792800 5226.2162 K
16.796 0.85618300 0.88318825 0.58074300 5366.2602 K
15.084 1.23971000 1.18756143 2.12139000 6397.7823 F
18.294 0.87110200 0.89547859 0.61693700 5410.4697 G
5.615 0.22629600 0.30460814 0.00551278 2852.1626 M
5.950 0.59036300 0.65598711 0.15809500 4497.6354 K
8.786 0.80969000 0.84460767 0.47765600 5225.8106 K
17.064 1.50687000 1.38822746 4.20016000 7019.2145 F
12.793 0.77641500 0.81672365 0.41240900 5122.6754 K
7.715 0.54650800 0.61670464 0.12066700 4335.7166 K
4.550 0.32206100 0.40397130 0.01895770 3372.6675 M
4.550 0.31268300 0.39453307 0.01709480 3325.6510 M
23.252 1.63084000 1.47886688 5.53913000 7287.8297 F
10.087 0.69311700 0.74583926 0.27721900 4853.8404 K
21.231 1.55206000 1.42143435 4.65782000 7118.4369 F
22.836 1.70111000 1.52962833 6.42042000 7435.3303 A
22.734 1.23379000 1.18302248 2.08613000 6383.2406 F
17.125 1.33868000 1.26281991 2.77570000 6635.5173 F
15.605 1.21470000 1.16835609 1.97535000 6336.1547 G
7.728 0.40176300 0.48214309 0.04110490 3746.1727 M
5.083 0.88314700 0.90537062 0.64731600 5445.8823 G
17.204 1.02615000 1.02086586 1.09454000 5848.2501 G
15.739 1.22102000 1.17321666 2.01153000 6351.7718 F
11.095 0.74546600 0.79057354 0.35768200 5024.6464 K
17.753 1.17832000 1.14027762 1.77592000 6245.2944 G
22.848 1.52332000 1.40033813 4.36286000 7055.5152 F
3.522 0.28489500 0.36622489 0.01234240 3181.8400 M
3.523 0.25927400 0.33963088 0.00887472 3042.5480 M
