wrr,mass,radius
# wrr: WATER-TO-ROCK RATIO
# mass: MASS (Earth mass)
# radius: RADIUS (Earth radius)
#
1.00000E-02,6.00000E-01,1.14449E+00
1.00000E-02,6.50000E-01,1.15913E+00
1.00000E-02,7.00000E-01,1.17345E+00
1.00000E-02,7.50000E-01,1.18729E+00
1.00000E-02,8.00000E-01,1.20085E+00
1.00000E-02,8.50000E-01,1.21406E+00
1.00000E-02,9.00000E-01,1.22693E+00
1.00000E-02,9.50000E-01,1.23950E+00
1.00000E-02,1.00000E+00,1.25162E+00
1.00000E-02,1.05000E+00,1.26348E+00
1.00000E-02,1.10000E+00,1.27511E+00
1.00000E-02,1.15000E+00,1.28642E+00
1.00000E-02,1.20000E+00,1.29736E+00
1.00000E-02,1.25000E+00,1.30814E+00
1.00000E-02,1.30000E+00,1.31851E+00
1.00000E-02,1.35000E+00,1.32880E+00
1.00000E-02,1.40000E+00,1.33897E+00
1.00000E-02,1.45000E+00,1.34895E+00
1.00000E-02,1.50000E+00,1.35870E+00
1.00000E-02,1.55000E+00,1.36807E+00
1.00000E-02,1.60000E+00,1.37681E+00
1.00000E-02,1.65000E+00,1.38564E+00
1.00000E-02,1.70000E+00,1.39490E+00
1.00000E-02,1.75000E+00,1.40415E+00
1.00000E-02,1.80000E+00,1.41248E+00
1.00000E-02,1.85000E+00,1.42062E+00
1.00000E-02,1.90000E+00,1.42873E+00
1.00000E-02,1.95000E+00,1.43677E+00
1.00000E-02,2.00000E+00,1.44481E+00
1.00000E-02,2.05000E+00,1.45275E+00
2.00000E-02,1.00000E-01,1.30630E+00
2.00000E-02,1.50000E-01,1.16028E+00
2.00000E-02,2.00000E-01,1.11751E+00
2.00000E-02,2.50000E-01,1.10659E+00
2.00000E-02,3.00000E-01,1.10828E+00
2.00000E-02,3.50000E-01,1.11653E+00
2.00000E-02,4.00000E-01,1.12760E+00
2.00000E-02,4.50000E-01,1.13981E+00
2.00000E-02,5.00000E-01,1.15304E+00
2.00000E-02,5.50000E-01,1.16653E+00
2.00000E-02,6.00000E-01,1.18005E+00
2.00000E-02,6.50000E-01,1.19351E+00
2.00000E-02,7.00000E-01,1.20683E+00
2.00000E-02,7.50000E-01,1.21983E+00
2.00000E-02,8.00000E-01,1.23261E+00
2.00000E-02,8.50000E-01,1.24518E+00
2.00000E-02,9.00000E-01,1.25747E+00
2.00000E-02,9.50000E-01,1.26953E+00
2.00000E-02,1.00000E+00,1.28115E+00
2.00000E-02,1.05000E+00,1.29280E+00
2.00000E-02,1.10000E+00,1.30450E+00
2.00000E-02,1.15000E+00,1.31627E+00
2.00000E-02,1.20000E+00,1.32728E+00
2.00000E-02,1.25000E+00,1.33770E+00
2.00000E-02,1.30000E+00,1.34773E+00
2.00000E-02,1.35000E+00,1.35770E+00
2.00000E-02,1.40000E+00,1.36752E+00
2.00000E-02,1.45000E+00,1.37728E+00
2.00000E-02,1.50000E+00,1.38672E+00
2.00000E-02,1.55000E+00,1.39608E+00
2.00000E-02,1.60000E+00,1.40453E+00
2.00000E-02,1.65000E+00,1.41299E+00
2.00000E-02,1.70000E+00,1.42190E+00
2.00000E-02,1.75000E+00,1.43089E+00
2.00000E-02,1.80000E+00,1.43934E+00
2.00000E-02,1.85000E+00,1.44723E+00
2.00000E-02,1.90000E+00,1.45512E+00
2.00000E-02,1.95000E+00,1.46294E+00
2.00000E-02,2.00000E+00,1.47074E+00
2.00000E-02,2.05000E+00,1.47852E+00
3.00000E-02,1.00000E-01,1.43722E+00
3.00000E-02,1.50000E-01,1.23273E+00
3.00000E-02,2.00000E-01,1.17060E+00
3.00000E-02,2.50000E-01,1.15014E+00
3.00000E-02,3.00000E-01,1.14630E+00
3.00000E-02,3.50000E-01,1.15097E+00
3.00000E-02,4.00000E-01,1.15947E+00
3.00000E-02,4.50000E-01,1.16971E+00
3.00000E-02,5.00000E-01,1.18146E+00
3.00000E-02,5.50000E-01,1.19371E+00
3.00000E-02,6.00000E-01,1.20625E+00
3.00000E-02,6.50000E-01,1.21886E+00
3.00000E-02,7.00000E-01,1.23191E+00
3.00000E-02,7.50000E-01,1.24555E+00
3.00000E-02,8.00000E-01,1.25863E+00
3.00000E-02,8.50000E-01,1.27063E+00
3.00000E-02,9.00000E-01,1.28237E+00
3.00000E-02,9.50000E-01,1.29390E+00
3.00000E-02,1.00000E+00,1.30510E+00
3.00000E-02,1.05000E+00,1.31612E+00
3.00000E-02,1.10000E+00,1.32701E+00
3.00000E-02,1.15000E+00,1.33753E+00
3.00000E-02,1.20000E+00,1.34788E+00
3.00000E-02,1.25000E+00,1.35796E+00
3.00000E-02,1.30000E+00,1.36778E+00
3.00000E-02,1.35000E+00,1.37745E+00
3.00000E-02,1.40000E+00,1.38701E+00
3.00000E-02,1.45000E+00,1.39653E+00
3.00000E-02,1.50000E+00,1.40574E+00
3.00000E-02,1.55000E+00,1.41490E+00
3.00000E-02,1.60000E+00,1.42331E+00
3.00000E-02,1.65000E+00,1.43150E+00
3.00000E-02,1.70000E+00,1.43999E+00
3.00000E-02,1.75000E+00,1.44873E+00
3.00000E-02,1.80000E+00,1.45733E+00
3.00000E-02,1.85000E+00,1.46499E+00
3.00000E-02,1.90000E+00,1.47265E+00
3.00000E-02,1.95000E+00,1.48027E+00
3.00000E-02,2.00000E+00,1.48786E+00
3.00000E-02,2.05000E+00,1.49544E+00
4.00000E-02,1.00000E-01,1.55395E+00
4.00000E-02,1.50000E-01,1.29463E+00
4.00000E-02,2.00000E-01,1.21544E+00
4.00000E-02,2.50000E-01,1.18685E+00
4.00000E-02,3.00000E-01,1.17826E+00
4.00000E-02,3.50000E-01,1.17990E+00
4.00000E-02,4.00000E-01,1.18618E+00
4.00000E-02,4.50000E-01,1.19479E+00
4.00000E-02,5.00000E-01,1.20525E+00
4.00000E-02,5.50000E-01,1.21817E+00
4.00000E-02,6.00000E-01,1.23142E+00
4.00000E-02,6.50000E-01,1.24310E+00
4.00000E-02,7.00000E-01,1.25491E+00
4.00000E-02,7.50000E-01,1.26661E+00
4.00000E-02,8.00000E-01,1.27816E+00
4.00000E-02,8.50000E-01,1.28970E+00
4.00000E-02,9.00000E-01,1.30098E+00
4.00000E-02,9.50000E-01,1.31209E+00
4.00000E-02,1.00000E+00,1.32295E+00
4.00000E-02,1.05000E+00,1.33361E+00
4.00000E-02,1.10000E+00,1.34411E+00
4.00000E-02,1.15000E+00,1.35435E+00
4.00000E-02,1.20000E+00,1.36444E+00
4.00000E-02,1.25000E+00,1.37419E+00
4.00000E-02,1.30000E+00,1.38379E+00
4.00000E-02,1.35000E+00,1.39315E+00
4.00000E-02,1.40000E+00,1.40245E+00
4.00000E-02,1.45000E+00,1.41168E+00
4.00000E-02,1.50000E+00,1.42071E+00
4.00000E-02,1.55000E+00,1.42959E+00
4.00000E-02,1.60000E+00,1.43803E+00
4.00000E-02,1.65000E+00,1.44597E+00
4.00000E-02,1.70000E+00,1.45401E+00
4.00000E-02,1.75000E+00,1.46251E+00
4.00000E-02,1.80000E+00,1.47101E+00
4.00000E-02,1.85000E+00,1.47867E+00
4.00000E-02,1.90000E+00,1.48610E+00
4.00000E-02,1.95000E+00,1.49351E+00
4.00000E-02,2.00000E+00,1.50089E+00
4.00000E-02,2.05000E+00,1.50826E+00
5.00000E-02,1.00000E-01,1.66440E+00
5.00000E-02,1.50000E-01,1.35127E+00
5.00000E-02,2.00000E-01,1.25582E+00
5.00000E-02,2.50000E-01,1.21969E+00
5.00000E-02,3.00000E-01,1.20689E+00
5.00000E-02,3.50000E-01,1.20558E+00
5.00000E-02,4.00000E-01,1.20990E+00
5.00000E-02,4.50000E-01,1.21962E+00
5.00000E-02,5.00000E-01,1.23023E+00
5.00000E-02,5.50000E-01,1.24023E+00
5.00000E-02,6.00000E-01,1.25080E+00
