pH2,pCO2,pCH4,scenario
57.42079900731884,7701.039863269281,96.91064281627948,habitable-biotic
1060.9995222474442,6409.589178738381,4.413148890906825,habitable-abiotic
1551.0952211060562,3112.59241413434,0.766302684159901,habitable-abiotic
100.38407455037488,20.95855957352173,3.3339611699395064,uninhabitable
3247.19792026562,167.96888433622803,0.0724350653772973,uninhabitable
591.1248604639178,75.29250441591876,0.1299802115552487,uninhabitable
195.3476452554741,217.8495828602251,0.1288583748480377,uninhabitable
10.65464775106764,63.65277046549819,0.2332939246553661,uninhabitable
52.19696615427135,11213.246812075236,102.08135585587914,habitable-biotic
4.605950335657781,593.0308178335167,1.4821454176574185,uninhabitable
1245.3059483440447,5428.957389892292,0.1108512213139881,habitable-abiotic
14.022099977008189,29.70513971717645,6.007487000357163,uninhabitable
774.4632003104136,85.83051449204058,0.1656465085630286,uninhabitable
6.796048557442934,16.62564531274678,0.1818397831755179,uninhabitable
72.5942978504298,2535.0541405851136,116.81809609259815,habitable-biotic
10.037424879456148,16.292663035673336,1.5703245634807057,uninhabitable
5.987923948194063,19.95682744493419,1.1485349428487586,uninhabitable
20.70816159160292,957.4311696382764,0.9349320547374552,uninhabitable
54.33614082065908,7545.15822902555,101.78127344938724,habitable-biotic
2520.449787263228,90.39530658965953,0.0595794199578594,uninhabitable
1379.6480200648546,1677.9874328903293,0.463280963578335,uninhabitable
540.9542695686008,39.51584053902303,0.556327233538159,uninhabitable
784.6048382892136,70.2308291401609,5.253425941486091,uninhabitable
1490.994131953192,3519.5149394686887,0.5196445714183912,habitable-abiotic
273.6814289112945,1155.2616532428744,0.2108446599796287,uninhabitable
62.32170290887735,4457.863155709381,106.01977764354828,habitable-biotic
97.23439775901456,845.7764420469604,0.2446710529121404,uninhabitable
2.41029007455705,877.512636681683,0.5912568621179499,uninhabitable
3.5720697905284933,113.24853237373914,0.4260253984479613,uninhabitable
921.93953590803,13.56033140063122,0.1399825458454962,uninhabitable
1477.5456537158484,3596.2178389703668,0.5133997108995466,habitable-abiotic
68.84938710591193,141.3653422067677,1.0209175171111375,uninhabitable
57.63154235606654,6003.661450012295,102.65708848025665,habitable-biotic
1544.5734919440108,57.137922066461904,0.0620636185500095,uninhabitable
156.5606069893649,513.2020007915826,3.211023655967508,uninhabitable
290.19433241909405,16.095996998190014,1.1588477455107098,uninhabitable
721.0275861510007,46.50119428007731,0.4365538225166419,uninhabitable
223.66133086524152,222.90871391747783,0.4231388927242868,uninhabitable
2189.4685428478533,2.354554418445592,118.35455225669249,extinct
2588.3946249777387,48.498246782730334,0.045694176772826,uninhabitable
4.516215840671696,17.915700085868515,0.3701061733347836,uninhabitable
3548.2545794262114,261.2093855830785,0.0917115194358857,uninhabitable
6.857184395223846,216.9810252205018,3.3593259663121184,uninhabitable
6964.798653471438,117.29910861325828,0.0299571092410093,uninhabitable
1932.3143323719023,1758.159353753174,0.5249429511129066,habitable-abiotic
53.51657920801603,34.13027997213408,2.707129565153144,uninhabitable
3557.561397569812,49.52045224707022,0.0364144588332697,uninhabitable
25.123990042965477,137.9933123475175,8.168997510205038,uninhabitable
54.253911977633095,6762.722623057772,110.1310662485606,habitable-biotic
2076.52063070712,46.47810525472128,0.0513870412333993,uninhabitable
3949.6105611037033,374.8132909740177,0.1331674189677311,uninhabitable
1773.0468003088486,2324.6021384279647,0.5646535599176706,habitable-abiotic
724.6075669316461,1271.8975970517631,2.087612321447136,uninhabitable
50.542332963203776,23.72791690538033,0.1127163573778452,uninhabitable
58.8332785895365,5173.929454797976,108.42960730718151,habitable-biotic
1874.1077809919675,1.595495724467266,220.53329425491413,extinct
2.28318934977502,52.87540895880456,0.1179041951552488,uninhabitable
73.16140179603052,15.850212127809025,0.2209796652431735,uninhabitable
3759.3510201094696,415.9084020831687,0.1572910849783189,uninhabitable
3840.4799565743992,378.2649523978534,0.1107462772357759,uninhabitable
1334.3204050315376,2635.203008742057,0.1621304011529186,uninhabitable
112.58860184260662,75.53770512663374,0.370977111291648,uninhabitable
1543.3820848472494,2917.754149708971,0.4169291087468644,habitable-abiotic
5453.638887186462,67.29637202011251,0.0275602779631618,uninhabitable
3410.8474885157543,50.82546941291759,0.0373840348743916,uninhabitable
105.91946164918296,13.413368780121765,2.3815383673467334,uninhabitable
59.56263368983079,385.6683344041487,0.5863868036221457,uninhabitable
1667.5712623870354,1236.79437163298,0.213344991572918,uninhabitable
2941.8022439288275,173.3587399792845,0.0826544264399403,uninhabitable
1597.3507288934509,1300.4940870422954,0.3003420953794411,uninhabitable
1144.4984563723708,7084.081710758355,0.1325078905975285,habitable-abiotic
2582.8541983956875,240.98876099179896,0.109312736242609,uninhabitable
3103.644455762054,91.80378727327712,0.0529137500286311,uninhabitable
2177.5801582587687,515.3533392999465,0.1252954215481777,uninhabitable
2866.54965376964,70.00078779028661,0.0494202459943684,uninhabitable
512.793952814478,19.06259626469465,2.01593847998328,uninhabitable
1656.7852846161247,2668.190450196448,0.4905651658875184,habitable-abiotic
2327.1177985629806,722.885279851709,0.10497514618999,uninhabitable
12.814062882118954,1085.2655291153724,4.95642290304248,uninhabitable
2219.8315213905594,1332.4905835326383,0.502110008932935,habitable-abiotic
913.8506315941718,262.7225366256139,0.452873446209011,uninhabitable
2329.6627906604804,338.5734540453586,0.1261060672480739,uninhabitable
1166.4537012236256,123.2867000599919,0.1019707442103425,uninhabitable
495.1801011554992,11.59288304344257,0.8254105119291245,uninhabitable
2.274974095280056,35.31613977888411,0.1062249991703193,uninhabitable
