age,lum
5.689995,-0.040
5.700209,-0.050
5.710513,-0.060
5.720897,-0.070
5.731367,-0.080
5.741920,-0.090
5.752559,-0.101
5.763283,-0.111
5.774093,-0.121
5.779531,-0.126
5.790472,-0.136
5.801499,-0.146
5.812613,-0.157
5.823814,-0.167
5.829445,-0.172
5.840772,-0.182
5.852181,-0.192
5.863676,-0.203
5.869452,-0.208
5.881071,-0.218
5.892769,-0.228
5.904546,-0.239
5.910465,-0.244
5.922363,-0.254
5.934338,-0.264
5.940356,-0.269
5.952429,-0.279
5.964557,-0.288
5.970641,-0.293
5.982850,-0.302
5.988973,-0.307
6.001262,-0.317
6.013596,-0.326
6.019785,-0.331
6.032196,-0.341
6.044653,-0.351
6.050902,-0.355
6.063431,-0.365
6.069712,-0.370
6.082311,-0.380
6.094957,-0.389
6.101293,-0.394
6.114000,-0.404
6.120370,-0.409
6.133143,-0.419
6.139545,-0.424
6.152380,-0.434
6.165262,-0.444
6.171718,-0.449
6.184660,-0.459
6.191149,-0.464
6.204158,-0.474
6.210682,-0.479
6.223761,-0.489
6.230316,-0.494
6.243470,-0.504
6.250061,-0.509
6.263288,-0.519
6.269919,-0.524
6.283222,-0.534
6.289892,-0.539
6.303274,-0.549
6.309983,-0.554
6.323440,-0.564
6.330188,-0.569
6.343724,-0.580
6.350510,-0.585
6.364117,-0.595
6.370938,-0.600
6.384611,-0.610
6.391463,-0.615
6.405199,-0.625
6.412082,-0.630
6.418974,-0.635
6.432785,-0.645
6.439704,-0.650
6.453563,-0.661
6.460504,-0.666
6.474407,-0.676
6.481367,-0.681
6.495304,-0.692
6.502281,-0.697
6.509262,-0.702
6.523238,-0.712
6.530233,-0.717
6.544233,-0.728
6.551238,-0.733
6.565260,-0.744
6.572277,-0.749
6.579296,-0.754
6.593349,-0.765
6.600380,-0.770
6.614461,-0.781
6.621507,-0.786
6.635614,-0.797
6.642677,-0.802
6.649747,-0.807
6.663892,-0.817
6.670967,-0.822
6.685119,-0.832
6.692197,-0.837
6.699279,-0.842
6.713451,-0.852
6.720542,-0.857
6.734741,-0.868
6.741847,-0.873
6.756077,-0.883
6.763203,-0.888
6.770334,-0.893
6.784619,-0.903
6.791773,-0.908
6.806106,-0.919
6.813283,-0.924
6.820469,-0.929
