age,lum
5.693823,-0.539
5.703383,-0.540
5.712525,-0.541
5.721278,-0.543
5.729665,-0.544
5.745433,-0.547
5.752852,-0.548
5.759986,-0.549
5.773459,-0.552
5.779826,-0.553
5.791887,-0.556
5.803124,-0.558
5.813617,-0.561
5.823434,-0.563
5.832638,-0.566
5.841281,-0.568
5.849411,-0.571
5.860738,-0.575
5.871131,-0.578
5.880696,-0.582
5.889526,-0.585
5.900288,-0.590
5.910038,-0.594
5.921003,-0.600
5.930805,-0.605
5.939617,-0.610
5.949082,-0.616
5.960139,-0.624
5.969741,-0.631
5.979147,-0.639
5.989055,-0.647
5.999017,-0.657
6.009328,-0.667
6.019037,-0.677
6.029368,-0.688
6.039053,-0.699
6.050117,-0.711
6.063063,-0.725
6.071937,-0.735
6.080901,-0.744
6.089955,-0.754
6.099100,-0.764
6.112994,-0.778
6.122376,-0.788
6.131856,-0.798
6.141428,-0.807
6.151100,-0.817
6.160874,-0.827
6.170751,-0.837
6.180731,-0.846
6.190819,-0.856
6.201015,-0.866
6.211318,-0.876
6.221735,-0.886
6.232262,-0.896
6.242899,-0.906
6.253648,-0.915
6.259063,-0.920
6.269975,-0.930
6.280995,-0.940
6.292121,-0.950
6.303349,-0.960
6.309002,-0.965
6.320379,-0.975
6.331848,-0.984
6.343407,-0.994
6.349217,-0.999
6.360900,-1.009
6.372662,-1.018
6.384493,-1.028
6.390437,-1.033
6.402371,-1.042
6.414368,-1.052
6.420390,-1.057
6.432472,-1.066
6.444608,-1.075
6.450695,-1.080
6.462890,-1.089
6.469012,-1.094
6.481288,-1.103
6.493606,-1.112
6.499779,-1.117
6.512157,-1.126
6.524570,-1.135
6.530791,-1.140
6.543258,-1.148
6.549505,-1.153
6.562024,-1.162
6.574576,-1.171
6.580865,-1.175
6.593464,-1.184
6.599774,-1.188
6.612414,-1.197
6.625078,-1.205
6.631413,-1.210
6.644092,-1.218
6.650436,-1.222
6.663130,-1.231
6.669481,-1.235
6.682187,-1.243
6.694899,-1.252
6.701256,-1.256
6.713973,-1.264
6.720333,-1.268
6.733054,-1.277
6.739417,-1.281
6.752169,-1.290
6.764951,-1.300
6.771352,-1.304
6.784174,-1.313
6.790595,-1.318
6.803452,-1.327
6.809888,-1.332
6.822774,-1.341
6.829223,-1.345
6.842133,-1.354
6.855056,-1.363
6.861521,-1.368
6.874461,-1.377
6.880934,-1.381
6.893887,-1.390
6.900368,-1.395
6.913332,-1.404
6.919818,-1.408
6.932794,-1.417
6.939285,-1.422
6.952271,-1.431
6.965266,-1.440
6.971766,-1.444
6.984770,-1.453
6.991275,-1.457
7.004291,-1.466
7.010804,-1.471
7.023833,-1.480
7.030353,-1.484
7.043394,-1.493
7.049919,-1.498
7.062977,-1.506
7.069509,-1.511
7.082574,-1.520
7.089113,-1.524
7.102190,-1.533
7.115278,-1.542
7.121826,-1.546
7.134923,-1.555
7.141472,-1.560
7.154579,-1.568
7.161134,-1.573
7.174246,-1.582
7.180802,-1.586
7.193912,-1.595
7.200467,-1.599
7.213571,-1.608
7.220019,-1.612
7.230812,-1.619
7.239657,-1.625
7.250527,-1.632
7.259451,-1.638
7.269319,-1.645
7.279441,-1.652
7.289411,-1.658
7.299017,-1.665
7.309198,-1.671
7.319406,-1.678
7.329337,-1.684
7.339416,-1.691
7.349299,-1.697
7.359196,-1.704
7.369166,-1.710
7.379175,-1.717
7.389159,-1.723
7.399047,-1.729
7.409077,-1.736
7.419048,-1.742
7.429035,-1.749
7.439033,-1.756
7.448992,-1.763
7.458978,-1.771
7.468972,-1.778
7.478970,-1.785
7.488995,-1.792
7.498987,-1.799
7.508977,-1.806
7.519991,-1.814
7.529577,-1.821
7.542706,-1.830
7.555454,-1.839
7.562118,-1.843
7.575474,-1.852
7.582163,-1.857
7.595558,-1.866
7.602261,-1.871
7.615681,-1.880
7.622397,-1.885
7.629118,-1.889
7.642569,-1.898
7.649302,-1.903
7.662780,-1.912
7.669524,-1.917
7.683027,-1.926
7.689786,-1.931
7.703320,-1.940
7.710095,-1.945
7.723662,-1.954
7.730454,-1.959
7.744060,-1.968
7.750872,-1.973
7.764513,-1.982
7.771343,-1.987
7.785026,-1.996
7.791881,-2.001
7.805616,-2.010
7.812499,-2.015
7.819393,-2.020
7.833219,-2.029
7.840151,-2.034
7.854060,-2.043
7.861039,-2.048
7.875053,-2.057
7.882087,-2.062
7.889140,-2.067
7.903309,-2.076
7.910431,-2.081
7.924752,-2.090
7.931953,-2.095
7.939184,-2.100
7.953737,-2.109
7.961062,-2.114
7.975814,-2.123
7.983246,-2.128
7.990719,-2.132
8.005798,-2.142
8.013406,-2.146
8.021069,-2.151
8.036565,-2.160
8.044403,-2.165
8.052313,-2.170
8.060294,-2.174
8.076498,-2.183
8.084730,-2.188
8.093057,-2.193
8.101489,-2.197
8.110030,-2.202
8.127477,-2.211
8.136407,-2.216
8.145492,-2.220
8.154743,-2.225
8.164180,-2.229
8.173821,-2.234
8.183688,-2.238
8.193803,-2.243
8.204199,-2.247
8.214907,-2.252
8.225965,-2.256
8.237426,-2.261
8.249348,-2.266
8.261253,-2.270
8.273011,-2.274
8.284616,-2.278
8.296064,-2.281
8.307351,-2.285
8.318477,-2.288
8.329439,-2.291
8.340232,-2.293
8.350860,-2.296
8.361320,-2.298
8.371613,-2.300
8.381736,-2.302
8.391695,-2.304
8.401487,-2.305
8.411116,-2.307
8.420583,-2.308
8.429889,-2.310
8.439039,-2.311
8.448032,-2.312
8.458585,-2.313
8.470919,-2.314
8.485271,-2.315
8.501891,-2.316
8.521029,-2.317
8.542936,-2.318
8.567842,-2.319
8.595960,-2.320
8.627461,-2.320
8.658756,-2.321
8.687947,-2.321
8.715299,-2.321
8.741029,-2.321
8.765321,-2.321
8.788325,-2.321
8.810172,-2.321
8.830972,-2.321
8.850821,-2.321
8.869803,-2.321
8.887990,-2.321
8.905445,-2.321
8.922226,-2.321
8.938383,-2.321
8.953960,-2.321
8.968998,-2.321
8.983532,-2.321
8.997596,-2.321
9.011219,-2.321
9.024424,-2.321
9.037243,-2.321
9.049695,-2.321
9.061799,-2.321
9.073575,-2.321
9.085041,-2.321
9.096208,-2.321
9.107098,-2.321
9.117722,-2.321
9.128092,-2.321
9.138221,-2.321
9.148115,-2.321
9.157792,-2.321
9.167258,-2.321
9.176522,-2.321
9.185593,-2.321
9.194475,-2.321
9.203183,-2.321
9.211718,-2.321
9.220090,-2.321
9.228303,-2.321
9.236361,-2.321
9.244275,-2.321
9.252047,-2.320
9.259682,-2.320
9.267186,-2.320
9.274562,-2.320
9.281813,-2.320
9.288946,-2.320
9.295965,-2.320
9.302872,-2.320
9.309671,-2.320
9.316363,-2.320
9.322955,-2.320
9.329449,-2.320
9.335847,-2.320
9.342152,-2.320
9.348365,-2.320
9.354493,-2.320
9.360535,-2.320
9.366494,-2.320
9.372372,-2.320
9.378171,-2.320
9.383894,-2.320
9.389543,-2.320
9.395120,-2.320
9.400626,-2.320
9.406061,-2.320
9.411431,-2.320
9.416735,-2.320
9.421976,-2.320
9.427153,-2.320
9.432270,-2.320
9.437326,-2.320
9.442325,-2.320
9.447267,-2.320
9.452153,-2.319
9.456985,-2.319
9.461763,-2.319
9.466489,-2.319
9.471166,-2.319
9.475792,-2.319
9.480369,-2.319
9.484897,-2.319
9.489380,-2.319
9.493818,-2.319
9.498210,-2.319
9.502558,-2.319
9.506862,-2.319
9.511125,-2.319
9.515347,-2.319
9.519527,-2.319
9.523668,-2.319
9.527770,-2.319
9.531833,-2.319
9.535858,-2.319
9.539847,-2.319
9.543800,-2.319
9.547717,-2.319
9.551598,-2.319
9.555445,-2.319
9.559259,-2.318
9.563039,-2.318
9.566787,-2.318
9.570502,-2.318
9.574186,-2.318
9.581463,-2.318
9.592152,-2.318
9.599136,-2.318
9.609404,-2.318
9.619437,-2.318
9.629241,-2.318
9.641980,-2.317
9.651294,-2.317
9.660413,-2.317
9.669345,-2.317
9.680974,-2.317
9.689496,-2.317
9.700606,-2.316
9.711438,-2.316
9.719388,-2.316
9.729766,-2.316
9.739904,-2.316
9.749809,-2.315
9.759493,-2.315
9.771303,-2.315
9.780525,-2.315
9.789555,-2.314
9.800585,-2.314
9.809211,-2.314
9.819759,-2.314
9.830057,-2.313
9.840116,-2.313
9.849947,-2.313
9.859560,-2.312
9.870823,-2.312
9.879990,-2.312
9.890741,-2.311
9.899502,-2.311
9.909786,-2.311
9.919832,-2.310
9.929652,-2.310
9.939254,-2.310
9.950194,-2.309
9.959358,-2.309
9.969809,-2.308
9.980015,-2.308
9.989987,-2.307
9.999735,-2.307
