age,lum
5.690793,0.171
5.703740,0.160
5.710236,0.155
5.723266,0.145
5.729803,0.140
5.742912,0.130
5.749487,0.125
5.762672,0.115
5.769283,0.110
5.782537,0.100
5.789181,0.095
5.802502,0.084
5.809178,0.079
5.822563,0.069
5.829268,0.064
5.842710,0.054
5.849444,0.049
5.862940,0.039
5.869700,0.034
5.883246,0.024
5.890031,0.019
5.903623,0.008
5.910427,0.003
5.924058,-0.007
5.930882,-0.012
5.944548,-0.022
5.951388,-0.027
5.965087,-0.037
5.971943,-0.043
5.985672,-0.053
5.992542,-0.058
5.999419,-0.063
6.013183,-0.073
6.020071,-0.078
6.033862,-0.089
6.040761,-0.094
6.054579,-0.104
6.061494,-0.109
6.075346,-0.120
6.082275,-0.125
6.089213,-0.130
6.103109,-0.140
6.110068,-0.145
6.124002,-0.156
6.130980,-0.161
6.144957,-0.171
6.151961,-0.177
6.165983,-0.187
6.173011,-0.192
6.180043,-0.197
6.194137,-0.208
6.201195,-0.213
6.215336,-0.223
6.222420,-0.229
6.229513,-0.234
6.243722,-0.244
6.250839,-0.250
6.265101,-0.260
6.272241,-0.265
6.279391,-0.271
6.293716,-0.281
6.300889,-0.287
6.315259,-0.297
6.322453,-0.303
6.329654,-0.308
6.344080,-0.319
6.351300,-0.324
6.365757,-0.334
6.372991,-0.340
6.380231,-0.345
6.394727,-0.356
6.401977,-0.361
6.409235,-0.367
6.423759,-0.377
6.431026,-0.383
6.445572,-0.393
6.452850,-0.399
6.460131,-0.404
6.474706,-0.415
6.481998,-0.420
6.489295,-0.426
6.503901,-0.437
6.511212,-0.442
6.525847,-0.453
6.533173,-0.458
6.540506,-0.464
6.555189,-0.475
6.562540,-0.480
6.569897,-0.486
6.584636,-0.496
6.591348,-0.501
6.602785,-0.508
6.612315,-0.515
6.620495,-0.521
6.630943,-0.528
6.639803,-0.534
6.649856,-0.541
6.660408,-0.548
6.669361,-0.554
6.679986,-0.561
6.689002,-0.567
6.699901,-0.575
6.709121,-0.581
6.719317,-0.588
6.729272,-0.595
6.739389,-0.602
6.749386,-0.609
6.759224,-0.616
6.769275,-0.623
6.779314,-0.630
6.789220,-0.637
6.799181,-0.644
6.809103,-0.651
6.819252,-0.658
6.829235,-0.665
6.839108,-0.672
6.849265,-0.679
6.861283,-0.687
6.873091,-0.696
6.885090,-0.704
6.892540,-0.709
6.900002,-0.715
6.914931,-0.725
6.922396,-0.730
6.929864,-0.735
6.944807,-0.746
6.952284,-0.751
6.959764,-0.756
6.974739,-0.767
6.982234,-0.772
6.989737,-0.777
7.004764,-0.788
7.012289,-0.793
7.019822,-0.798
7.034925,-0.809
7.042493,-0.814
7.050074,-0.819
7.065277,-0.830
7.072904,-0.835
7.080547,-0.840
7.095884,-0.851
7.103581,-0.856
7.111299,-0.862
7.119041,-0.867
7.134588,-0.877
7.142399,-0.883
7.150234,-0.888
7.165864,-0.898
7.173635,-0.904
7.181375,-0.909
7.189089,-0.914
7.204421,-0.924
7.212041,-0.929
7.219634,-0.934
7.234725,-0.943
