age,lum
9.414861,0.702
9.415252,0.703
9.415633,0.703
9.416003,0.704
9.416363,0.704
9.416712,0.705
9.417053,0.705
9.417384,0.706
9.417706,0.706
9.418019,0.707
9.418324,0.707
9.418623,0.708
9.418913,0.708
9.419194,0.709
9.419468,0.709
9.419736,0.710
9.419997,0.710
9.420250,0.711
9.420497,0.711
9.420738,0.712
9.420973,0.712
9.421202,0.713
9.421425,0.713
9.421640,0.714
9.421851,0.715
9.422056,0.716
9.422255,0.717
9.422449,0.718
9.422636,0.718
9.422818,0.719
9.422997,0.719
9.423169,0.720
9.423338,0.721
9.423500,0.721
9.423660,0.722
9.423814,0.723
9.423965,0.724
9.424112,0.724
9.424254,0.725
9.424393,0.726
9.424529,0.726
9.424660,0.727
9.424789,0.728
9.424913,0.729
9.425035,0.729
9.425153,0.730
9.425268,0.731
9.425381,0.7329.425490,0.732
