age,lum
,0.732
5.692977,0.740
5.699537,0.735
5.712661,0.726
5.719229,0.722
5.732378,0.713
5.745545,0.703
5.752132,0.699
5.765323,0.690
5.771922,0.685
5.785136,0.676
5.791747,0.671
5.804984,0.662
5.811607,0.657
5.824867,0.648
5.831505,0.643
5.844791,0.634
5.851444,0.629
5.864760,0.620
5.871430,0.615
5.884781,0.606
5.891470,0.601
5.904861,0.592
5.911569,0.587
5.925006,0.577
5.931735,0.573
5.945225,0.563
5.951980,0.558
5.965522,0.549
5.972304,0.544
5.979098,0.539
5.992715,0.530
5.999540,0.525
6.013217,0.515
6.020075,0.510
6.033822,0.501
6.040713,0.496
6.054533,0.486
6.061460,0.481
6.075357,0.471
6.082329,0.467
6.089312,0.462
6.103321,0.452
6.110351,0.447
6.124305,0.438
6.130520,0.433
6.141340,0.426
6.150563,0.420
6.162744,0.411
6.170825,0.406
6.179017,0.400
6.190841,0.392
6.202837,0.384
6.210648,0.379
6.221685,0.372
6.229984,0.366
6.239382,0.360
6.249492,0.353
6.259082,0.347
6.269349,0.340
6.279167,0.334
6.292604,0.326
6.305831,0.317
6.312801,0.313
6.319745,0.309
6.333550,0.300
6.340410,0.296
6.354055,0.288
6.360836,0.284
6.374321,0.276
6.381027,0.272
6.394362,0.264
6.400994,0.260
6.414183,0.253
6.420738,0.249
6.433773,0.242
6.440251,0.239
6.453129,0.232
6.459527,0.229
6.472243,0.222
6.484848,0.216
6.491108,0.213
6.503548,0.206
6.509727,0.204
6.522002,0.198
6.534168,0.192
6.540212,0.190
6.552217,0.184
6.564115,0.179
6.570024,0.177
6.581759,0.172
6.593382,0.168
6.599151,0.166
6.610603,0.162
6.621936,0.158
6.633150,0.155
6.644246,0.152
6.649749,0.150
6.660663,0.147
6.671460,0.145
6.682136,0.143
6.692692,0.141
6.703128,0.139
6.713444,0.137
6.723639,0.136
6.733712,0.135
6.743661,0.135
6.753488,0.134
6.763191,0.134
6.772773,0.135
6.782230,0.135
6.791564,0.136
6.800773,0.137
6.809859,0.139
6.823253,0.142
6.832026,0.144
6.840674,0.147
6.849195,0.150
6.861740,0.156
6.869948,0.160
6.882026,0.166
6.889923,0.171
6.901543,0.178
6.909139,0.184
6.920312,0.193
6.931222,0.202
6.941868,0.213
6.952197,0.224
6.962076,0.235
6.971458,0.247
6.980422,0.259
6.991710,0.276
6.999699,0.288
7.009778,0.305
7.019158,0.322
7.030012,0.343
7.039925,0.364
7.049024,0.385
7.060460,0.414
7.069224,0.437
7.079655,0.467
7.089919,0.497
7.099007,0.525
7.109720,0.557
7.119279,0.585
7.129016,0.613
7.139306,0.640
7.149465,0.663
7.159092,0.681
7.169069,0.693
7.179210,0.697
7.189454,0.687
7.199985,0.659
7.209751,0.620
7.219668,0.576
7.229636,0.534
7.241103,0.497
7.249348,0.482
7.260953,0.474
7.277139,0.478
7.287417,0.484
7.299435,0.492
7.313433,0.500
7.329654,0.507
7.347371,0.515
7.362758,0.523
7.375175,0.531
7.385258,0.538
7.393486,0.544
7.400225,0.550
7.405761,0.554
7.410323,0.557
7.414087,0.560
7.417199,0.562
7.419777,0.563
7.429248,0.568
7.440137,0.570
7.451751,0.568
7.463559,0.565
7.471116,0.563
7.480016,0.561
7.490459,0.560
7.502669,0.559
7.516882,0.558
7.533345,0.558
7.552310,0.558
7.574028,0.558
7.598730,0.558
7.626632,0.558
7.657906,0.558
7.692687,0.558
7.731049,0.559
7.773015,0.559
7.818546,0.560
7.867545,0.561
7.919866,0.562
7.975321,0.563
8.033689,0.563
8.094730,0.564
8.158194,0.565
8.223825,0.567
8.291387,0.569
8.356592,0.571
8.413273,0.573
8.463403,0.575
8.508341,0.577
8.549062,0.579
8.586290,0.580
8.620577,0.582
8.652356,0.584
8.681965,0.586
8.709685,0.588
8.735740,0.589
8.760321,0.591
8.783584,0.593
8.805665,0.595
8.826677,0.597
8.846719,0.599
8.865876,0.601
8.884225,0.603
8.901829,0.604
8.918748,0.606
8.935032,0.608
8.950728,0.610
8.965876,0.612
8.980513,0.614
8.994673,0.616
9.008387,0.618
9.021681,0.620
9.034576,0.621
9.047103,0.623
9.059279,0.625
9.071123,0.627
9.082653,0.630
9.093880,0.632
9.104828,0.634
9.115507,0.636
9.125930,0.638
9.136108,0.641
9.146054,0.643
9.155773,0.646
9.165283,0.649
9.174589,0.651
9.183700,0.654
9.192623,0.657
9.201364,0.659
9.209936,0.661
9.218341,0.663
9.226587,0.665
9.234679,0.666
9.242621,0.668
9.250422,0.669
9.258086,0.671
9.265617,0.672
9.273020,0.673
9.279092,0.674
9.285440,0.678
9.290660,0.680
9.296843,0.681
9.303358,0.682
9.309351,0.683
9.314861,0.684
9.319955,0.685
9.324680,0.686
9.329082,0.686
9.333197,0.687
9.337054,0.687
9.340680,0.688
9.344095,0.688
9.347322,0.688
9.350370,0.689
9.353256,0.689
9.355991,0.689
9.358588,0.689
9.361059,0.689
9.363415,0.690
9.365658,0.690
9.367803,0.690
9.369854,0.690
9.371816,0.690
9.373695,0.690
9.375497,0.691
9.377228,0.691
9.378886,0.691
9.380475,0.691
9.382003,0.691
9.383469,0.691
9.384880,0.691
9.386238,0.691
9.387545,0.692
9.388803,0.692
9.390016,0.692
9.391187,0.692
9.392319,0.692
9.393410,0.692
9.394464,0.693
9.395482,0.693
9.396470,0.693
9.397422,0.693
9.398345,0.693
9.399237,0.694
9.400101,0.694
9.400938,0.694
9.401750,0.694
9.402536,0.695
9.403299,0.695
9.404040,0.695
9.404755,0.695
9.405447,0.696
9.406118,0.696
9.406767,0.696
9.407396,0.697
9.408006,0.697
9.408596,0.697
9.409169,0.697
9.409725,0.698
9.410264,0.698
9.410786,0.699
9.411295,0.699
9.411786,0.699
9.412266,0.700
9.412729,0.700
9.413181,0.701
9.413618,0.701
9.414045,0.701
9.414459,0.702
