age,lum
5.693263,0.634
5.699859,0.629
5.713064,0.620
5.719678,0.615
5.732927,0.606
5.739559,0.601
5.752850,0.591
5.759504,0.587
5.772838,0.577
5.779514,0.572
5.792892,0.563
5.799591,0.558
5.813016,0.548
5.819739,0.544
5.833210,0.534
5.839959,0.529
5.853477,0.519
5.860251,0.515
5.873820,0.505
5.880615,0.500
5.894232,0.490
5.901052,0.485
5.914716,0.476
5.921560,0.471
5.935268,0.461
5.942135,0.456
5.949006,0.451
5.962773,0.441
5.969666,0.436
5.983471,0.427
5.990384,0.422
6.004227,0.412
6.011160,0.407
6.025039,0.397
6.031990,0.392
6.045913,0.382
6.052882,0.377
6.059859,0.372
6.073832,0.362
6.080828,0.357
6.094845,0.347
6.101867,0.342
6.115930,0.332
6.122976,0.327
6.130028,0.322
6.144163,0.312
6.151244,0.307
6.165431,0.297
6.172542,0.292
6.179661,0.287
6.193553,0.278
6.199632,0.273
6.210233,0.266
6.219461,0.259
6.231153,0.251
6.242733,0.243
6.249954,0.238
6.261042,0.231
6.271941,0.223
6.279379,0.218
6.289397,0.211
6.299804,0.204
6.309837,0.197
6.319452,0.191
6.329416,0.184
6.339879,0.177
6.349456,0.171
6.359236,0.164
6.372945,0.155
6.380365,0.151
6.395125,0.141
6.402466,0.136
6.409781,0.132
6.424336,0.123
6.431576,0.118
6.445976,0.109
6.453139,0.105
6.460275,0.100
6.474471,0.091
6.481531,0.087
6.495572,0.079
6.502554,0.074
6.509510,0.070
6.523342,0.062
6.530219,0.058
6.543891,0.050
6.550686,0.046
6.564192,0.039
6.570905,0.035
6.584248,0.027
6.590879,0.024
6.604060,0.017
6.610610,0.013
6.623632,0.006
6.630101,0.003
6.642961,-0.004
6.649350,-0.007
6.662043,-0.013
6.674624,-0.019
6.680871,-0.022
6.693279,-0.027
6.699440,-0.030
6.711672,-0.036
6.723789,-0.041
6.729803,-0.043
6.741744,-0.048
6.753568,-0.052
6.759437,-0.054
6.771085,-0.059
6.782614,-0.062
6.794024,-0.066
6.799684,-0.068
6.810912,-0.071
6.822018,-0.074
6.833000,-0.076
6.843859,-0.079
6.849242,-0.080
6.859914,-0.082
6.870458,-0.083
6.880875,-0.084
6.891164,-0.085
6.901326,-0.086
6.911359,-0.086
6.921265,-0.086
6.931043,-0.086
6.940693,-0.086
6.950216,-0.085
6.959610,-0.083
6.973458,-0.081
6.982529,-0.079
6.991473,-0.077
7.000291,-0.074
7.008983,-0.071
7.021793,-0.066
7.030175,-0.063
7.042524,-0.057
7.050600,-0.053
7.062495,-0.045
7.070274,-0.040
7.081732,-0.031
7.089227,-0.024
7.100264,-0.014
7.111054,-0.003
7.121609,0.008
7.131731,0.020
7.141406,0.032
7.150652,0.044
7.159483,0.057
7.170631,0.074
7.181146,0.092
7.191068,0.110
7.200421,0.127
7.209292,0.144
7.219681,0.165
7.229329,0.186
7.239987,0.210
7.249709,0.232
7.260024,0.257
7.269422,0.280
7.279252,0.304
7.289029,0.326
7.299952,0.348
7.309334,0.362
7.319947,0.371
7.330079,0.373
7.339223,0.367
7.349023,0.353
7.359287,0.330
7.370208,0.300
7.379247,0.273
7.390395,0.241
7.402504,0.213
7.412538,0.197
7.418982,0.190
7.435548,0.181
7.446058,0.181
7.458345,0.183
