age,lum
5.703957,-1.154
5.738317,-1.155
5.769327,-1.157
5.797516,-1.158
5.823296,-1.159
5.846997,-1.161
5.868886,-1.162
5.889182,-1.163
5.908067,-1.165
5.925695,-1.166
5.942195,-1.167
5.957680,-1.168
5.972245,-1.170
5.985973,-1.171
5.998937,-1.172
6.011202,-1.174
6.022824,-1.175
6.033854,-1.176
6.044336,-1.177
6.054310,-1.179
6.063814,-1.180
6.072875,-1.181
6.081531,-1.182
6.089803,-1.183
6.097715,-1.185
6.105296,-1.186
6.112558,-1.187
6.119523,-1.188
6.126209,-1.189
6.132634,-1.191
6.138808,-1.192
6.144749,-1.193
6.150465,-1.194
6.155970,-1.195
6.161278,-1.196
6.166395,-1.197
6.171331,-1.198
6.176097,-1.200
6.180699,-1.201
6.185145,-1.202
6.189445,-1.203
6.193603,-1.204
6.197628,-1.205
6.201520,-1.206
6.205294,-1.207
6.208946,-1.208
6.212489,-1.209
6.215923,-1.210
6.219254,-1.211
6.222488,-1.212
6.225625,-1.213
6.228672,-1.214
6.231630,-1.215
6.234507,-1.216
6.237302,-1.217
6.240020,-1.218
6.250178,-1.222
6.259319,-1.227
6.269532,-1.233
6.280296,-1.240
6.289723,-1.247
6.299337,-1.254
6.309952,-1.262
6.319012,-1.270
6.329247,-1.280
6.339183,-1.290
6.349149,-1.300
6.359221,-1.311
6.368995,-1.322
6.380304,-1.334
6.391022,-1.346
6.399075,-1.355
6.411288,-1.368
6.419516,-1.376
6.431994,-1.389
6.440402,-1.398
6.453155,-1.411
6.461752,-1.419
6.470425,-1.428
6.479174,-1.437
6.492443,-1.450
6.501384,-1.458
6.510406,-1.467
6.519509,-1.476
6.533317,-1.489
6.542625,-1.498
6.552014,-1.507
6.561484,-1.515
6.571034,-1.524
6.580662,-1.533
6.590365,-1.541
6.600142,-1.550
6.609986,-1.559
6.619897,-1.567
6.629869,-1.576
6.639900,-1.584
6.649986,-1.593
6.660120,-1.601
6.670305,-1.610
6.680532,-1.618
6.690803,-1.626
6.701112,-1.635
6.711460,-1.643
6.721848,-1.651
6.732271,-1.659
6.742732,-1.667
6.753231,-1.675
6.763770,-1.683
6.769060,-1.688
6.779694,-1.697
6.790398,-1.706
