age,lum
5.693063,0.508
5.699731,0.503
5.713101,0.493
5.719800,0.488
5.733232,0.479
5.739961,0.474
5.753449,0.464
5.760208,0.459
5.773752,0.449
5.780538,0.444
5.794137,0.434
5.800949,0.429
5.814599,0.419
5.821436,0.415
5.835137,0.405
5.841999,0.400
5.855747,0.390
5.862633,0.385
5.869527,0.380
5.883335,0.370
5.890250,0.365
5.904100,0.355
5.911036,0.350
5.924927,0.340
5.931884,0.335
5.945815,0.325
5.952791,0.320
5.959773,0.315
5.973755,0.305
5.980759,0.300
5.994779,0.290
6.001799,0.285
6.015863,0.275
6.022902,0.270
6.029948,0.265
6.044057,0.255
6.051122,0.250
6.065270,0.240
6.072353,0.235
6.079445,0.229
6.093642,0.219
6.100753,0.214
6.114991,0.204
6.122121,0.199
6.129255,0.194
6.143543,0.184
6.150695,0.179
6.165016,0.169
6.172185,0.164
6.179356,0.159
6.193720,0.149
6.200908,0.144
6.215294,0.134
6.222493,0.128
6.229695,0.123
6.244106,0.113
6.251317,0.108
6.265744,0.098
6.272964,0.093
6.280182,0.088
6.294632,0.078
6.301859,0.073
6.309091,0.068
6.322261,0.059
6.329278,0.054
6.341858,0.045
6.352071,0.038
6.362047,0.031
6.371801,0.024
6.381213,0.017
6.390571,0.011
6.399111,0.005
6.409157,-0.002
6.419333,-0.009
6.431084,-0.018
6.441943,-0.025
6.453005,-0.033
6.460095,-0.038
6.474792,-0.048
6.482154,-0.053
6.489530,-0.058
6.504315,-0.068
6.511724,-0.073
6.519150,-0.078
6.534043,-0.089
6.541513,-0.094
6.549000,-0.099
6.564023,-0.109
6.571563,-0.114
6.579123,-0.119
6.594215,-0.129
6.601720,-0.134
6.609198,-0.139
6.624074,-0.148
6.631471,-0.153
6.646185,-0.162
6.653501,-0.167
6.660790,-0.172
6.675287,-0.181
6.682495,-0.185
6.689676,-0.190
6.703958,-0.198
6.711058,-0.202
6.725175,-0.211
6.732191,-0.215
6.739180,-0.219
6.753071,-0.227
