age,lum
9.513074,-0.569
9.517276,-0.569
9.521439,-0.568
9.525562,-0.568
9.529645,-0.568
9.533691,-0.567
9.537699,-0.567
9.541672,-0.566
9.545608,-0.566
9.549507,-0.566
9.553373,-0.565
9.557205,-0.565
9.561004,-0.564
9.564769,-0.564
9.568501,-0.564
9.572202,-0.563
9.575872,-0.563
9.579512,-0.562
9.583121,-0.562
9.586699,-0.561
9.590249,-0.561
9.593770,-0.561
9.597263,-0.560
9.600728,-0.560
9.604164,-0.559
9.607575,-0.559
9.610959,-0.558
9.614317,-0.558
9.617649,-0.558
9.620956,-0.557
9.624237,-0.557
9.627494,-0.556
9.630727,-0.556
9.633936,-0.556
9.637121,-0.555
9.640283,-0.555
9.643422,-0.554
9.646539,-0.554
9.649634,-0.553
9.652707,-0.553
9.655757,-0.553
9.658787,-0.552
9.661796,-0.552
9.664784,-0.551
9.667752,-0.551
9.670698,-0.550
9.673626,-0.550
9.676534,-0.550
9.679423,-0.549
9.682293,-0.549
9.685144,-0.548
9.687976,-0.548
9.690790,-0.547
9.693585,-0.547
9.696363,-0.547
9.699124,-0.546
9.701866,-0.546
9.704591,-0.545
9.707300,-0.545
9.709992,-0.544
9.712667,-0.544
9.715325,-0.544
9.717968,-0.543
9.720595,-0.543
9.723206,-0.542
9.725801,-0.542
9.728381,-0.541
9.730945,-0.541
9.733495,-0.540
9.736030,-0.540
9.738550,-0.540
9.741055,-0.539
9.743546,-0.539
9.746023,-0.538
9.748486,-0.538
9.750935,-0.537
9.753370,-0.537
9.755791,-0.536
9.758199,-0.536
9.760594,-0.536
9.762976,-0.535
9.765345,-0.535
9.767700,-0.534
9.770044,-0.534
9.772375,-0.533
9.779292,-0.532
9.790582,-0.530
9.799408,-0.528
9.810194,-0.526
9.820718,-0.523
9.830993,-0.521
9.839041,-0.519
9.850841,-0.516
9.860435,-0.514
9.869822,-0.512
9.879010,-0.509
9.889785,-0.506
9.900299,-0.503
9.910565,-0.500
9.920593,-0.498
9.930396,-0.494
9.939982,-0.491
9.949361,-0.489
9.960053,-0.485
9.969013,-0.482
9.979237,-0.478
9.989226,-0.474
9.998991,-0.470
